modeldate,subgroup,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp,,,,,,
12/30/2019,Adults,42.738857,46.485378,38.992335,52.258416,56.346694,48.170138,2/10/2020 15:27,47.382277,51.284524,43.48003,40.899572,45.01456,36.784584
12/29/2019,Voters,44.475435,48.707612,40.243258,51.739699,55.688429,47.79097,2/10/2020 15:28,47.378832,51.285984,43.47168,40.89774,45.015093,36.780386
12/28/2019,All polls,43.799778,48.163578,39.435978,51.836955,55.741983,47.931927,2/10/2020 15:26,47.375353,51.286676,43.464029,40.895744,45.015607,36.77588
12/27/2019,Voters,44.315428,48.817175,39.81368,51.771871,56.008597,47.535146,2/10/2020 9:43,47.371142,51.286575,43.45571,40.893882,45.016469,36.771294
12/26/2019,All polls,43.835029,48.394993,39.275065,51.733375,55.820556,47.646195,2/10/2020 9:36,47.368513,51.287974,43.449052,40.893228,45.01822,36.768236
12/25/2019,Adults,42.908631,46.807686,39.009576,52.066139,56.27705,47.855228,2/10/2020 9:40,47.365276,51.289223,43.44133,40.892501,45.020275,36.764727
12/24/2019,Adults,42.908631,46.807667,39.009594,52.066139,56.277043,47.855235,2/10/2020 9:41,47.394156,51.272564,43.515747,40.862741,44.9496,36.775883
12/23/2019,All polls,43.835029,48.39499,39.275068,51.733375,55.820559,47.646191,2/10/2020 9:38,47.389901,51.271601,43.508201,40.861068,44.949983,36.772152
12/22/2019,Voters,44.315428,48.817176,39.81368,51.771871,56.008597,47.535146,2/10/2020 9:45,47.375508,51.305279,43.445737,40.719407,44.748221,36.690593
12/21/2019,Adults,42.908619,46.807619,39.00962,52.06628,56.27721,47.855349,2/7/2020 13:08,47.370036,51.303752,43.436319,40.720024,44.752735,36.687313
12/20/2019,Voters,44.315394,48.817107,39.813681,51.772042,56.00874,47.535345,2/7/2020 13:09,47.365598,51.302532,43.428665,40.720003,44.755973,36.684034
12/19/2019,All polls,43.835004,48.394932,39.275076,51.733498,55.820694,47.646301,2/7/2020 13:07,47.360123,51.30075,43.419497,40.719785,44.759619,36.679951
12/18/2019,Voters,44.143581,48.562612,39.72455,52.065025,56.301704,47.828346,2/6/2020 18:25,47.353693,51.297753,43.409633,40.718726,44.762362,36.67509
12/17/2019,Adults,42.999762,46.931169,39.068356,51.983416,56.228826,47.738007,2/6/2020 18:24,47.174683,51.097723,43.251643,40.582038,44.633202,36.530874
12/16/2019,All polls,43.874323,48.329297,39.419349,51.807388,55.90759,47.707185,2/6/2020 18:23,47.172545,51.098388,43.246702,40.584695,44.638522,36.530867
12/15/2019,Adults,42.521909,46.422501,38.621316,52.336885,56.667561,48.006209,2/5/2020 13:48,47.170498,51.099585,43.241411,40.587062,44.644113,36.530011
12/14/2019,Voters,43.785319,48.013639,39.556999,52.297462,56.441554,48.15337,2/5/2020 13:49,47.168244,51.100316,43.236172,40.589284,44.649348,36.52922
12/13/2019,All polls,43.400478,47.732434,39.068522,52.142364,56.235201,48.049528,2/5/2020 13:47,47.165856,51.100591,43.231122,40.591344,44.654254,36.528434
12/12/2019,Adults,42.562989,46.550935,38.575043,52.257319,56.608886,47.905751,2/4/2020 15:54,47.164001,51.10129,43.226712,40.593352,44.659167,36.527537
12/11/2019,Voters,44.067537,48.290495,39.84458,52.228955,56.358126,48.099783,2/4/2020 15:55,47.179011,51.192064,43.165959,40.741191,44.875689,36.606693
12/10/2019,All polls,43.513849,47.85891,39.168787,52.13905,56.231968,48.046131,2/4/2020 15:53,47.152645,51.120221,43.185069,40.748641,44.842073,36.655209
12/9/2019,Voters,44.076662,48.29897,39.854354,52.194396,56.350133,48.038659,2/3/2020 17:15,47.150599,51.120017,43.181181,40.74926,44.844785,36.653736
12/8/2019,Adults,42.180371,45.83023,38.530512,52.525175,56.910857,48.139493,2/3/2020 17:14,46.799177,50.710987,42.887367,41.106265,45.257995,36.954535
12/7/2019,All polls,43.376899,47.653,39.100798,52.214689,56.352015,48.077363,2/3/2020 17:13,46.799297,50.714372,42.884222,41.10377,45.258511,36.94903
12/6/2019,Voters,44.322535,48.716976,39.928095,51.896759,56.167627,47.625891,2/2/2020 9:12,46.799356,50.717131,42.881581,41.101034,45.258571,36.943498
12/5/2019,Adults,42.378287,45.957924,38.79865,52.30828,56.659927,47.956633,2/2/2020 9:11,46.799156,50.721918,42.876394,41.09757,45.260311,36.934829
12/4/2019,All polls,43.636141,47.989298,39.282984,51.889993,56.11656,47.663426,2/2/2020 9:10,46.79859,50.727495,42.869686,41.094136,45.263245,36.925026
12/3/2019,Voters,44.233143,48.752544,39.713742,52.02111,56.414739,47.627481,2/1/2020 8:21,46.807752,50.690622,42.924883,41.067988,45.19,36.945976
12/2/2019,Adults,42.378287,45.957929,38.798646,52.30828,56.659947,47.956612,2/1/2020 8:20,46.661206,50.542288,42.780125,41.003698,45.170517,36.836879
12/1/2019,All polls,43.406713,47.790994,39.022432,51.959784,56.263716,47.655851,2/1/2020 8:19,46.662065,50.546782,42.777349,41.00217,45.171766,36.832575
11/30/2019,Adults,42.378287,45.957935,38.79864,52.30828,56.659948,47.956612,1/31/2020 16:37,46.662414,50.550974,42.773855,40.999649,45.172942,36.826357
11/29/2019,Voters,44.343219,48.887607,39.798832,51.875146,56.290198,47.460093,1/31/2020 16:38,46.662202,50.556436,42.767969,40.996822,45.175282,36.818362
11/28/2019,All polls,43.426452,47.805347,39.047557,51.904613,56.212673,47.596553,1/31/2020 16:36,46.661553,50.561512,42.761593,40.99381,45.177652,36.809967
11/27/2019,Adults,41.221578,44.92154,37.521615,53.762664,58.245309,49.280019,1/30/2020 19:17,46.660563,50.566851,42.754276,40.989777,45.179137,36.800417
11/26/2019,Voters,44.26148,48.68573,39.837229,51.964505,56.322115,47.606895,1/30/2020 19:18,46.66964,50.574047,42.765233,40.961857,45.148515,36.775199
11/25/2019,All polls,42.830283,47.339159,38.321408,52.758718,57.20442,48.313016,1/30/2020 19:16,46.775163,50.690178,42.860149,41.056558,45.225259,36.887857
11/24/2019,Voters,44.330772,48.694143,39.9674,51.885109,56.175978,47.594239,1/29/2020 9:46,46.773515,50.693115,42.853914,41.051889,45.224853,36.878926
11/23/2019,Adults,41.365332,45.149495,37.581168,53.442971,58.059177,48.826766,1/29/2020 9:45,46.771565,50.696562,42.846568,41.047154,45.22501,36.869297
11/22/2019,All polls,42.95131,47.416312,38.486308,52.60528,57.042581,48.167979,1/29/2020 9:44,46.769813,50.699452,42.840174,41.042789,45.225363,36.860214
11/21/2019,All polls,43.193389,47.512331,38.874447,52.515747,56.937673,48.093821,1/28/2020 22:21,46.766818,50.701685,42.831951,41.037305,45.225489,36.849121
